P_dc,P_ac_real,Eff_real,Eff_est,P_ac_est,Error
128.58999999999995,14.299999999999997,11.120615911035076,21.71642911958546,27.92515620487493,13.625156204874934
128.62,12.699999999999998,9.874047582024566,21.733934877546254,27.954187039499992,15.254187039499994
128.89,27.299999999999997,21.18085188920785,21.89111990835206,28.21546444987497,0.9154644498749711
128.89,28.4,22.034292807820623,21.89111990835206,28.21546444987497,-0.1845355501250303
128.97,27.3,21.167713421725985,21.937566832499794,28.292879943874983,0.992879943874982
129.01999999999998,18.1,14.02883273911022,21.966566903968353,28.341264619499967,10.241264619499965
129.09,41.3,31.99318305058486,22.00712925468665,28.409003154875,-12.890996845124999
129.09,14.200000000000001,11.000077465334265,22.00712925468665,28.409003154875,14.209003154874997
129.18,34.40000000000001,26.62950921195232,22.059216240517106,28.4960955395,-5.903904460500012
129.35,22.4,17.31735601082335,22.15740496472747,28.66060332187498,6.2606033218749815
129.38,24.4,18.85917452465605,22.174705595532526,28.68963409949998,4.289634099499981
